quote,value
CZK.FRA3M.7M,2.016
CZK.FRA3M.8M,1.9849999999999999
CZK.FRA3M.9M,1.968
CZK.FRA3M.12M,1.876
CZK.BASIS6M3M.2Y,5.95
CZK.BASIS6M3M.3Y,6.05
CZK.BASIS6M3M.4Y,6.65
CZK.BASIS6M3M.5Y,7.2
CZK.BASIS6M3M.6Y,8.25
CZK.BASIS6M3M.7Y,9.6
CZK.BASIS6M3M.8Y,11.3
CZK.BASIS6M3M.9Y,13.0
CZK.BASIS6M3M.10Y,14.5
GBP.DEPOSIT.3M,0.78275
GBP.FUTURE.1,99.215
GBP.FUTURE.2,99.195
GBP.FUTURE.3,99.255
GBP.FUTURE.4,99.265
GBP.FUTURE.5,99.275
GBP.FUTURE.6,99.255
GBP.FUTURE.7,99.28
GBP.FUTURE.8,99.28
GBP.FUTURE.9,99.28
GBP.FUTURE.10,99.275
GBP.SWAP3M.1Y,0.773
GBP.SWAP3M.2Y,0.7572
GBP.SWAP3M.3Y,0.7485
