quote,ticker
KRW.SWAP.12Y,KWSWO12 BGN  Curncy
KRW.SWAP.15Y,KWSWO15 BGN  Curncy
KRW.SWAP.20Y,KWSWO20 BGN  Curncy

ZAR.DEPOSIT.3M,JIBA3M Index
ZAR.FRA3M.1M,SAFR0AD BGN  Curncy
ZAR.FRA3M.2M,SAFR0BE BGN  Curncy
ZAR.FRA3M.3M,SAFR0CF BGN  Curncy
ZAR.FRA3M.4M,SAFR0DG BGN  Curncy
ZAR.FRA3M.5M,SAFR0EH BGN  Curncy
ZAR.FRA3M.6M,SAFR0FI BGN  Curncy
ZAR.FRA3M.7M,SAFR0GJ BGN  Curncy
ZAR.FRA3M.8M,SAFR0HK BGN  Curncy
ZAR.FRA3M.9M,SAFR0I1 BGN  Curncy
ZAR.FRA3M.12M,SAFR011C BGN  Curncy
ZAR.FRA3M.15M,SAFR1C1F BGN  Curncy
ZAR.FRA3M.18M,SAFR1F1I BGN  Curncy
ZAR.FRA3M.21M,SAFR1I2 BGN  Curncy
ZAR.SWAP3M.3Y,SASW3 BGNL Curncy
ZAR.SWAP3M.4Y,SASW4 BGNL Curncy
ZAR.SWAP3M.5Y,SASW5 BGNL Curncy
ZAR.SWAP3M.6Y,SASW6 BGNL Curncy
ZAR.SWAP3M.7Y,SASW7 BGNL Curncy
ZAR.SWAP3M.8Y,SASW8 BGNL Curncy
ZAR.SWAP3M.9Y,SASW9 BGNL Curncy
ZAR.SWAP3M.10Y,SASW10 BGNL Curncy
ZAR.SWAP3M.12Y,SASW12 BGNL Curncy
ZAR.SWAP3M.15Y,SASW15 BGNL Curncy
ZAR.SWAP3M.20Y,SASW20 BGNL Curncy
ZAR.SWAP3M.25Y,SASW25 BGNL Curncy
ZAR.SWAP3M.30Y,SASW30 BGNL Curncy

USD.DEPOSIT.1M,US0001M Index
USD.DEPOSIT.3M,US0003M Index
USD.DEPOSIT.6M,US0006M Index
USD.FUTURE.1,ED1 Comdty
USD.FUTURE.2,ED2 Comdty
USD.FUTURE.3,ED3 Comdty
USD.FUTURE.4,ED4 Comdty
USD.FUTURE.5,ED5 Comdty
USD.FUTURE.6,ED6 Comdty

USD.SWAP3M.3M,USSWC Curncy
USD.SWAP3M.6M,USSWF Curncy
USD.SWAP3M.9M,USSWI Curncy
USD.SWAP3M.1Y,USSWAP1 BGN  Curncy
USD.SWAP3M.18M,USSW1F BGN  Curncy
USD.SWAP3M.2Y,USSWAP2 BGN  Curncy
USD.SWAP3M.3Y,USSWAP3 BGN  Curncy
USD.SWAP3M.4Y,USSWAP4 BGN  Curncy
USD.SWAP3M.5Y,USSWAP5 BGN  Curncy
USD.SWAP3M.6Y,USSW6 BGN  Curncy
USD.SWAP3M.7Y,USSWAP7 BGN  Curncy
USD.SWAP3M.8Y,USSW8 BGN  Curncy
USD.SWAP3M.9Y,USSW9 BGN  Curncy
USD.SWAP3M.10Y,USSWAP10 BGN  Curncy
USD.SWAP3M.11Y,USSWAP11 BGN  Curncy
USD.SWAP3M.12Y,USSWAP12 BGN  Curncy
USD.SWAP3M.15Y,USSWAP15 BGN  Curncy
USD.SWAP3M.20Y,USSWAP20 BGN  Curncy
USD.SWAP3M.25Y,USSWAP25 BGN  Curncy
USD.SWAP3M.30Y,USSWAP30 BGN  Curncy
USD.SWAP3M.40Y,USSWAP40 BGN  Curncy
